"","cty_name","country_name","p_sale_count","p_sale_cost","var_dates","gross_sale"
"1","CTY_1","IND",105.751550402492,117.266062603428,2000-01-01,12401.0679299082
"2","CTY_1","IND",115.766102708876,112.325704736698,2000-01-02,13003.5090713955
"3","CTY_1","IND",108.179538436234,118.676197477472,2000-01-03,12838.3362664803
"4","CTY_1","IND",117.660348080099,120.037063742699,2000-01-04,14123.602702479
"5","CTY_1","IND",118.809345685877,114.235440216968,2000-01-05,13572.2379063161
"6","CTY_1","IND",100.911129987799,116.596483053339,2000-01-06,11765.8828575157
"7","CTY_1","IND",110.56210976094,111.522184268965,2000-01-07,12330.1279779251
"8","CTY_1","IND",117.848380887881,116.909041527377,2000-01-08,13777.5412551554
"9","CTY_1","IND",111.028700289316,112.726518644539,2000-01-09,12515.8788532426
"10","CTY_1","IND",109.132294706069,118.780255467701,2000-01-10,12962.7618449633
"11","CTY_1","IND",119.136666906998,112.439204328826,2000-01-11,13395.6320334112
"12","CTY_1","IND",109.06668312382,115.320454803617,2000-01-12,12577.6195017608
"13","CTY_1","IND",113.551412709057,113.866283536335,2000-01-13,12929.6773554809
"14","CTY_1","IND",111.452668039128,118.654400775318,2000-01-14,13224.3495409932
"15","CTY_1","IND",102.058493653312,114.645721568486,2000-01-15,11700.5696470768
"16","CTY_1","IND",117.996499408036,115.063758471033,2000-01-16,13577.1207083137
"17","CTY_1","IND",104.921754687093,119.108720756443,2000-01-17,12497.095980301
"18","CTY_1","IND",100.841190670617,118.35789668886,2000-01-18,11935.3512273745
"19","CTY_1","IND",106.558414385654,112.191702638851,2000-01-19,11954.9699404227
"20","CTY_1","IND",119.090072982945,112.137117689827,2000-01-20,13354.4175297785
"21","CTY_1","IND",117.790786321275,113.944312064976,2000-01-21,13421.5901149703
"22","CTY_1","IND",113.856068123132,113.143673894138,2000-01-22,12882.0938425924
"23","CTY_1","IND",112.810136275366,113.576182901741,2000-01-23,12812.5446707812
"24","CTY_1","IND",119.885395532474,115.031922121048,2000-01-24,13790.6474823426
"25","CTY_1","IND",113.114115982316,119.866219199593,2000-01-25,13558.5614209045
"26","CTY_1","IND",114.170609363355,115.746996064777,2000-01-26,13214.9050726935
"27","CTY_1","IND",110.881320494227,112.105889553966,2000-01-27,12430.4490689237
"28","CTY_1","IND",111.882840408944,112.734793520903,2000-01-28,12613.0889120344
"29","CTY_1","IND",105.783194745891,112.04404170332,2000-01-29,11852.376683619
"30","CTY_1","IND",102.942272946239,116.316736885612,2000-01-30,11973.9092766945
"31","CTY_1","IND",119.260484650731,119.206093349757,2000-01-31,14216.5764662123
"32","CTY_1","IND",118.045980902389,117.120090812517,2000-02-01,13825.5560033404
"33","CTY_1","IND",113.814105568454,116.148535018524,2000-02-02,13219.3416262195
"34","CTY_1","IND",115.909348353744,115.786197623385,2000-02-03,13420.7027148843
