"","rules","support","confidence","lift"
"1","{} => {48}",0.477926998026361,0.477926998026361,1
"2","{} => {39}",0.574794128989814,0.574794128989814,1
"3","{3854} => {38}",0.00106621900592092,0.912621359223301,5.15892050986437
"4","{4383} => {39}",0.00107756176130306,0.650684931506849,1.13203127639875
"5","{1045} => {32}",0.00110024727206733,0.906542056074766,5.26950357669042
"6","{4030} => {48}",0.00102084798439237,0.825688073394495,1.72764475914573
"7","{317} => {39}",0.00102084798439237,0.708661417322835,1.23289606066139
"8","{8031} => {39}",0.00100950522901023,0.754237288135593,1.31218683367756
"9","{714} => {39}",0.00103219073977451,0.705426356589147,1.22726785297706
"10","{2110} => {39}",0.00108890451668519,0.644295302013423,1.12091489720982
"11","{2060} => {39}",0.00100950522901023,0.723577235772358,1.25884590547928
"12","{14804} => {39}",0.00102084798439237,0.580645161290323,1.01017935292901
"13","{1473} => {39}",0.00122501758127084,0.8,1.39180266403552
"14","{3573} => {39}",0.00114561829359588,0.682432432432432,1.18726409685462
"15","{4278} => {39}",0.0012136748258887,0.722972972972973,1.25779463726183
"16","{5315} => {48}",0.00103219073977451,0.694656488549618,1.45347823290641
"17","{5315} => {39}",0.00110024727206733,0.740458015267176,1.28821429781914
"18","{705} => {39}",0.00107756176130306,0.748031496062992,1.30139028625369
"19","{1909} => {39}",0.00103219073977451,0.745901639344262,1.29768486093476
"20","{1727} => {38}",0.00183752637190626,0.931034482758621,5.26300731398856
"21","{1727} => {48}",0.00108890451668519,0.551724137931034,1.15441090419546
"22","{1727} => {39}",0.00123636033665298,0.626436781609195,1.08984547686689
"23","{1316} => {48}",0.00110024727206733,0.734848484848485,1.5375747507111
"24","{15879} => {48}",0.00117964655974229,0.8125,1.7000504331316
"25","{914} => {39}",0.00132710237971008,0.801369863013699,1.39418588777531
"26","{5164} => {39}",0.00115696104897802,0.728571428571429,1.26753456903235
"27","{14953} => {39}",0.00104353349515664,0.647887323943662,1.12716412932454
"28","{2402} => {39}",0.00116830380436016,0.635802469135803,1.10613946292946
"29","{3101} => {39}",0.00103219073977451,0.664233576642336,1.15560257689081
"30","{3005} => {38}",0.0022118372995168,0.951219512195122,5.37711045358722
"31","{3005} => {48}",0.00106621900592092,0.458536585365854,0.959428086840498
"32","{3005} => {39}",0.00169007055193848,0.726829268292683,1.26450363988593
"33","{719} => {39}",0.00103219073977451,0.758333333333333,1.31931294195034
"34","{4913} => {39}",0.00147455819967787,0.718232044198895,1.24954659063962
"35","{647} => {769}",0.00170141330732061,0.581395348837209,155.796281897222
"36","{769} => {647}",0.00170141330732061,0.455927051671733,155.796281897222
"37","{647} => {39}",0.00127038860279939,0.434108527131783,0.755241755678189
"38","{2559} => {48}",0.00103219073977451,0.65,1.36004034650528
"39","{435} => {39}",0.00108890451668519,0.705882352941177,1.22806117414899
"40","{4265} => {39}",0.00100950522901023,0.723577235772358,1.25884590547928
"41","{2297} => {39}",0.00108890451668519,0.596273291925466,1.03736844524387
"42","{3106} => {39}",0.00105487625053878,0.7265625,1.26403952886038
"43","{2061} => {39}",0.00103219073977451,0.705426356589147,1.22726785297706
"44","{152} => {48}",0.00110024727206733,0.595092024539877,1.24515255885807
"45","{152} => {39}",0.00128173135818153,0.693251533742331,1.20608666438661
"46","{4563} => {39}",0.00103219073977451,0.669117647058823,1.16409965466206
"47","{1615} => {48}",0.00113427553821374,0.555555555555556,1.16242764658571
"48","{1615} => {39}",0.00136113064585649,0.666666666666667,1.15983555336293
"49","{1426} => {39}",0.00106621900592092,0.701492537313433,1.22042397779234
"50","{2351} => {48}",0.00129307411356367,0.550724637681159,1.15231958009366
"51","{2351} => {39}",0.0013951589120029,0.594202898550725,1.03376647147566
"52","{13089} => {39}",0.00106621900592092,0.622516556291391,1.08302525181572
"53","{958} => {39}",0.0012136748258887,0.625730994152047,1.08861758078802
"54","{83} => {48}",0.00116830380436016,0.52020202020202,1.08845497816662
"55","{83} => {39}",0.00150858646582428,0.671717171717172,1.16862218634296
"56","{3569} => {39}",0.00107756176130306,0.693430656934307,1.20639829455634
"57","{12973} => {39}",0.00106621900592092,0.648275862068965,1.12784008982189
"58","{1354} => {48}",0.00102084798439237,0.538922155688623,1.12762442363404
"59","{1354} => {39}",0.00117964655974229,0.622754491017964,1.08343919954861
"60","{2837} => {39}",0.00103219073977451,0.694656488549618,1.20853093919115
"61","{2393} => {48}",0.00104353349515664,0.736,1.53998414619675
"62","{941} => {48}",0.00104353349515664,0.671532846715328,1.40509502390214
"63","{1536} => {39}",0.00100950522901023,0.593333333333333,1.03225364249301
"64","{2550} => {39}",0.00111159002744947,0.736842105263158,1.28192350634851
"65","{915} => {39}",0.00123636033665298,0.795620437956204,1.38418330638569
"66","{695} => {48}",0.00102084798439237,0.466321243523316,0.975716470191114
"67","{695} => {39}",0.00116830380436016,0.533678756476684,0.928469393754266
"68","{1031} => {39}",0.00102084798439237,0.666666666666667,1.15983555336293
"69","{13318} => {48}",0.00107756176130306,0.612903225806452,1.28242017784617
"70","{13318} => {39}",0.00107756176130306,0.612903225806452,1.06630042809173
"71","{393} => {39}",0.00105487625053878,0.628378378378378,1.09322337631168
"72","{569} => {39}",0.00102084798439237,0.743801652892562,1.29403140251236
"73","{3324} => {48}",0.00107756176130306,0.47979797979798,1.00391478568766
"74","{3324} => {39}",0.00140650166738504,0.626262626262626,1.08954248952276
"75","{4556} => {39}",0.00112293278283161,0.673469387755102,1.1716706100299
"76","{3857} => {39}",0.00120233207050657,0.785185185185185,1.36602854062746
"77","{7646} => {39}",0.0012136748258887,0.614942528735632,1.06984831215374
"78","{2326} => {48}",0.00102084798439237,0.592105263157895,1.23890314965056
"79","{2326} => {39}",0.00111159002744947,0.644736842105263,1.12168306805494
"80","{3434} => {39}",0.00110024727206733,0.659863945578231,1.14800049669596
"81","{769} => {1034}",0.00195095392572764,0.522796352583587,148.679909795078
"82","{1034} => {769}",0.00195095392572764,0.554838709677419,148.679909795078
"83","{769} => {39}",0.00154261473197069,0.413373860182371,0.719168549805588
"84","{2039} => {39}",0.00133844513509222,0.808219178082192,1.40610200647424
"85","{460} => {48}",0.00120233207050657,0.63855421686747,1.33609153595514
"86","{460} => {39}",0.00100950522901023,0.536144578313253,0.932759315505733
"87","{7938} => {48}",0.00107756176130306,0.633333333333333,1.32516751710771
"88","{10017} => {39}",0.00112293278283161,0.727941176470588,1.26643808584114
"89","{4843} => {48}",0.00108890451668519,0.545454545454545,1.14129259846597
"90","{4843} => {39}",0.00117964655974229,0.590909090909091,1.0280360586626
"91","{3660} => {48}",0.00100950522901023,0.679389312977099,1.42153365635901
"92","{3660} => {39}",0.00103219073977451,0.694656488549618,1.20853093919115
"93","{712} => {48}",0.00106621900592092,0.661971830985915,1.38508984367818
"94","{712} => {39}",0.00102084798439237,0.633802816901408,1.10266056129575
"95","{2715} => {39}",0.00108890451668519,0.705882352941177,1.22806117414899
"96","{2769} => {39}",0.00110024727206733,0.610062893081761,1.06135894977551
"97","{1410} => {39}",0.00107756176130306,0.688405797101449,1.19765627792912
"98","{699} => {696}",0.00103219073977451,0.598684210526316,338.34100877193
